symbol,strategy_name,trades,profitable_trades,loss_trades,average_profit,average_trade_days,average_percent_profit,trades_days,trades_profit,trades_percent,last_update,percent_wins,table_name,last_sale_date,last_sell_date_diff
LPT-ETH,ALGO_ADX_28,21,20,1,0.0001,16.6190,2.4029,"[23.0, 15.0, 1.0, 1.0, 1.0, 7.0, 11.0, 2.0, 20.0, 2.0, 5.0, 40.0, 113.0, 11.0, 2.0, 6.0, 11.0, 14.0, 12.0, 50.0, 2.0]","[6.0999999999999856e-05, 6.800000000000035e-05, 0.00015600000000000032, 7.299999999999971e-05, 1.299999999999999e-05, 8.90000000000001e-05, 0.00015999999999999999, 2.3000000000000017e-05, 9.699999999999986e-05, 1.0000000000001327e-06, 5.099999999999983e-05, 0.00021000000000000012, -3.500000000000031e-05, 0.0001010000000000004, 0.00011800000000000005, 0.00011800000000000005, 9.399999999999947e-05, 8.200000000000048e-05, 1.899999999999992e-05, 0.00029299999999999986, 0.00012400000000000085]","[2.3652578518805685, 2.6624902114330604, 5.379310344827597, 2.302112898139379, 0.4011107682813943, 2.3682810005322006, 4.2723631508678235, 0.6068601583113461, 2.5654588733139345, 0.026246719160108473, 1.3340308658121849, 5.319148936170215, -0.8551184949914563, 2.397910731244074, 2.7397260273972615, 2.6879271070615047, 2.2227476944904105, 1.904761904761916, 0.43567988993349965, 6.637970095151786, 2.685726662334868]",2023-09-11 06:17:05,0.9523809523809523,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-04 05:00:00+00:00,13
SHR-ETH,ALGO_ADX_28,13,12,1,0.0000,16.3846,2.3958,"[1.0, 1.0, 1.0, 100.0, 31.0, 12.0, 1.0, 1.0, 3.0, 58.0, 2.0, 1.0, 1.0]","[9.999999999999904e-09, 9.999999999999904e-09, 9.999999999999904e-09, 3.000000000000003e-08, 1.000000000000001e-08, 3.000000000000003e-08, 4.000000000000004e-08, 1.9999999999999914e-08, 6.000000000000006e-08, 0.0, 1.000000000000001e-08, 1.000000000000001e-08, 2.000000000000002e-08]","[1.2820512820512697, 1.2820512820512697, 1.2820512820512697, 3.750000000000004, 1.2345679012345692, 3.7037037037037077, 4.87804878048781, 2.2988505747126338, 6.741573033707872, 0.0, 1.1627906976744198, 1.1764705882352953, 2.3529411764705905]",2023-09-11 06:47:09,0.9230769230769231,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-08-30 02:00:00+00:00,18
BLZ-USDT,ALGO_ADX_28,22,18,4,0.0023,12.6818,2.1865,"[29.0, 10.0, 6.0, 3.0, 17.0, 1.0, 13.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 83.0, 14.0, 5.0, 74.0, 8.0]","[0.0010370000000000032, 0.0005349999999999938, -0.00015699999999999048, -0.0036790000000000017, 0.006887000000000004, 0.008002999999999996, 0.008657999999999999, 0.002944000000000002, 0.0024929999999999952, 0.0017199999999999993, 0.0010980000000000018, 0.0011359999999999981, 0.0034389999999999976, 0.006566000000000002, 0.004608000000000001, 0.0033540000000000098, 0.0013109999999999927, -0.0038479999999999903, -0.003158999999999995, 0.0024610000000000187, 0.0009599999999999886, 0.005186999999999997]","[1.98628562672388, 1.005922722572142, -0.17801664512324022, -4.043834773241885, 7.946507898046551, 7.6804222648752365, 7.688482372791047, 2.8701230331273053, 2.369997148017868, 1.6450829236566746, 0.9806723589725286, 1.0266606416628994, 3.0919585700927836, 5.703068678288213, 3.87852669853882, 2.9221118661787853, 1.1313915857605115, -3.2051709202372143, -2.6921306948918504, 1.8364027102050702, 0.707036486028656, 3.7520887133525727]",2023-09-11 05:34:36,0.8181818181818182,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-11 01:00:00+00:00,6
CERE-ETH,ALGO_ADX_28,8,8,0,0.0000,17.1250,2.1770,"[32.0, 9.0, 6.0, 2.0, 4.0, 9.0, 32.0, 43.0]","[9.999999999999904e-09, 2.9999999999999925e-08, 1.4000000000000014e-07, 2.9999999999999925e-08, 2.000000000000002e-08, 4.000000000000004e-08, 3.0000000000000136e-08, 9.999999999999904e-09]","[0.598802395209575, 1.796407185628738, 8.187134502923985, 1.6216216216216175, 1.0582010582010593, 2.0942408376963373, 1.5463917525773265, 0.512820512820508]",2023-09-11 05:39:22,1.0,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-06 12:00:00+00:00,11
TTK-USDT,ALGO_ADX_28,6,6,0,0.0000,19.0000,2.1639,"[1.0, 91.0, 4.0, 10.0, 3.0, 5.0]","[2.3100000000000074e-05, 5.929999999999998e-05, 2.760000000000002e-05, 9.900000000000186e-06, 2.3000000000000017e-05, 2.240000000000011e-05]","[1.7236233398000356, 4.250286697247704, 2.2896963663514205, 0.8039629689784137, 1.8546891379727453, 2.061286463605421]",2023-09-11 06:57:41,1.0,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-10 22:00:00+00:00,6
HEART-USDT,ALGO_ADX_28,14,12,2,0.0002,12.7857,2.0973,"[13.0, 1.0, 2.0, 2.0, 1.0, 8.0, 48.0, 2.0, 3.0, 4.0, 5.0, 1.0, 85.0, 4.0]","[-1.3000000000000858e-05, 3.900000000000084e-05, 0.0002700000000000003, 4.80000000000003e-05, 9.299999999999933e-05, 0.00016900000000000075, -1.600000000000039e-05, 0.00016499999999999935, 0.00039299999999999925, 0.0001429999999999999, 0.00023300000000000057, 0.0007390000000000001, 4.999999999999796e-06, 2.7000000000000114e-05]","[-0.13672696676483864, 0.4107424960505618, 3.4834214940007775, 0.6242684354272376, 1.1967571741088578, 2.1490335707019423, -0.19762845849802851, 2.14648107193963, 4.991109982219955, 1.888536714210247, 3.0322748568454005, 9.333164940641577, 0.06854009595613154, 0.37246516760932696]",2023-09-11 06:04:57,0.8571428571428571,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-06 00:00:00+00:00,11
AKRO-USDT,ALGO_ADX_28,17,16,1,0.0002,3.8235,2.0685,"[2.0, 12.0, 1.0, 1.0, 1.0, 22.0, 1.0, 3.0, 6.0, 1.0, 3.0, 1.0, 1.0, 1.0, 5.0, 1.0, 3.0]","[0.00011200000000000099, 0.0001921000000000006, 0.0002731999999999995, 0.0010979000000000006, 0.00018080000000000006, 0.0002821999999999998, -1.6499999999999154e-05, 0.00017670000000000012, 6.900000000000656e-06, 0.00013170000000000022, 0.0002288999999999989, 4.119999999999992e-05, 4.7900000000000026e-05, 9.699999999999986e-05, 5.450000000000073e-05, 0.00012670000000000042, 0.00015550000000000112]","[1.385367060424281, 2.3352499969608997, 3.292002554555417, 12.302779022859712, 1.9403305430349866, 3.3582444782939813, -0.18077635226188637, 1.9327106074858367, 0.08164907464382846, 1.5393066691601045, 2.6817723832509186, 0.4516800964753595, 0.5210542918991834, 1.0533288449217588, 0.5911319363096093, 0.852922960928457, 1.0263958653738332]",2023-09-11 05:24:42,0.9411764705882353,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-05 14:00:00+00:00,12
FOR-ETH,ALGO_ADX_28,7,7,0,0.0000,48.8571,2.0627,"[5.0, 2.0, 11.0, 5.0, 29.0, 91.0, 199.0]","[2.700000000000008e-07, 3.8999999999999965e-07, 2.0999999999999968e-07, 1.2999999999999876e-07, 1.7000000000000007e-07, 9.999999999999904e-09, 2.999999999999988e-07]","[2.673267326732681, 3.7937743190661446, 2.0628683693516665, 1.252408477841992, 1.6666666666666674, 0.09680542110358088, 2.8929604628736625]",2023-09-11 05:56:58,1.0,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-02 02:00:00+00:00,15
KAR-USDT,ALGO_ADX_28,16,14,2,0.0013,23.8125,2.0403,"[4.0, 3.0, 1.0, 97.0, 20.0, 1.0, 41.0, 16.0, 6.0, 20.0, 22.0, 22.0, 25.0, 51.0, 21.0, 31.0]","[0.005100000000000007, 0.0013999999999999985, 0.0023000000000000104, 0.0029, 0.0011999999999999997, 0.0015000000000000013, -0.0006999999999999992, 0.00010000000000000286, 0.0010000000000000009, 0.0015000000000000013, 0.0007999999999999952, 0.0010000000000000009, 0.0007999999999999952, -0.00010000000000000286, 0.000800000000000009, 0.0012999999999999956]","[7.943925233644872, 2.236421725239614, 3.633491311216446, 4.41400304414003, 1.9639934533551549, 2.4193548387096793, -1.1128775834658176, 0.15748031496063442, 1.5576323987538956, 2.297090352220523, 1.1869436201780343, 1.5748031496063006, 1.2480499219968724, -0.1555209953343746, 1.2364760432766755, 2.0440251572326975]",2023-09-11 06:11:08,0.875,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-08 00:00:00+00:00,9
PENDLE-ETH,ALGO_ADX_28,13,12,1,0.0000,21.3077,2.0027,"[127.0, 4.0, 82.0, 2.0, 4.0, 24.0, 3.0, 7.0, 9.0, 5.0, 4.0, 4.0, 2.0]","[-3.3099999999999666e-06, 6.470000000000011e-06, 1.0720000000000033e-05, 7.0700000000000255e-06, 3.240000000000003e-06, 1.8749999999999995e-05, 1.2229999999999956e-05, 7.819999999999962e-06, 5.630000000000012e-06, 1.4960000000000006e-05, 1.7400000000000206e-06, 4.370000000000014e-06, 6.590000000000003e-06]","[-0.8402934680510692, 1.9776860767232187, 3.202581184835549, 1.9946958582552834, 0.8790016277807929, 5.05159360939731, 3.159308723618598, 1.9845700944066496, 1.4782334716168701, 3.8573601835855933, 0.44153471376370806, 1.087145806901016, 1.7618436530852322]",2023-09-11 06:35:51,0.9230769230769231,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-03 18:00:00+00:00,14
